Track Name,Artist,Value,TopPos,TopMonth,Year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Starboy,The Weeknd,11316,1,1,2017,0.681,0.594,7,-7.028,1,0.282,0.165,3.49e-06,0.134,0.535,186.054,230453,4
Closer,The Chainsmokers,13526,10,1,2017,0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,244960,4
Let Me Love You,DJ Snake,7857,10,1,2017,0.476,0.718,8,-5.309,1,0.0576,0.0784,1.02e-05,0.122,0.142,199.864,205947,4
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,14420,10,2,2017,0.72,0.763,9,-4.068,0,0.0523,0.406,0,0.18,0.742,101.965,251088,4
One Dance,Drake,8666,100,8,2017,0.791,0.619,1,-5.886,1,0.0532,0.00784,0.00423,0.351,0.371,103.989,173987,4
Fake Love,Drake,8576,10,1,2017,0.927,0.488,9,-9.433,0,0.42,0.108,0,0.196,0.605,133.987,210937,4
24K Magic,Bruno Mars,7052,10,1,2017,0.818,0.803,1,-4.282,1,0.0797,0.034,0,0.153,0.632,106.97,225983,4
Don't Wanna Know,Maroon 5,6770,10,1,2017,0.783,0.623,7,-6.126,1,0.08,0.338,0,0.0975,0.447,100.048,214480,4
Black Beatles,Rae Sremmurd,4476,11,1,2017,0.794,0.632,0,-6.163,1,0.0649,0.142,0,0.128,0.355,145.926,291893,4
I Feel It Coming,The Weeknd,12735,10,1,2017,0.773,0.819,0,-5.946,0,0.118,0.426,0,0.0679,0.585,92.99,269187,4
Chantaje (feat. Maluma),Shakira,9159,100,7,2017,0.852,0.773,8,-2.921,0,0.0776,0.187,3.05e-05,0.159,0.907,102.034,195840,4
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,14371,10,3,2017,0.735,0.451,0,-8.374,1,0.0585,0.0631,1.3e-05,0.325,0.0862,117.973,245200,4
Say You Won't Let Go,James Arthur,15743,10,1,2017,0.358,0.557,10,-7.398,1,0.059,0.695,0,0.0902,0.494,85.043,211467,4
Bad and Boujee (feat. Lil Uzi Vert),Migos,8844,10,1,2017,0.927,0.665,11,-5.313,1,0.244,0.061,0,0.123,0.175,127.076,343150,4
Cold Water (feat. Justin Bieber & MØ),Major Lazer,4993,14,1,2017,0.608,0.798,6,-5.092,0,0.0432,0.0736,0,0.156,0.501,92.943,185352,4
In the Name of Love,Martin Garrix,4944,100,4,2017,0.49,0.485,4,-6.237,0,0.0406,0.0592,0,0.337,0.196,133.889,195840,4
Side To Side,Ariana Grande,4747,100,4,2017,0.648,0.738,6,-5.883,0,0.247,0.0408,0,0.292,0.603,159.145,226160,4
Call On Me - Ryan Riback Extended Remix,Starley,11278,100,7,2017,0.67,0.838,0,-4.031,1,0.0362,0.0604,0.000611,0.159,0.717,104.998,222041,4
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,3172,100,3,2017,0.667,0.83,0,-5.715,1,0.0749,0.0123,0,0.191,0.701,113.03,236002,4
Don't Let Me Down,The Chainsmokers,3338,100,4,2017,0.542,0.859,11,-5.651,1,0.197,0.16,0.00466,0.137,0.403,159.797,208053,4
Treat You Better,Shawn Mendes,3170,21,1,2017,0.624,0.803,10,-4.105,0,0.246,0.123,0,0.114,0.821,166.018,187973,4
Just Hold On,Steve Aoki,6216,15,1,2017,0.647,0.932,11,-3.515,1,0.0824,0.00383,1.5e-06,0.0574,0.374,114.991,198774,4
My Way,Calvin Harris,3920,23,1,2017,0.819,0.913,4,-3.059,0,0.0427,0.0935,3.72e-05,0.161,0.536,119.989,219160,4
Starving,Hailee Steinfeld,5174,100,4,2017,0.636,0.633,4,-4.23,1,0.126,0.371,0,0.102,0.512,99.721,181880,4
Bad Things (with Camila Cabello),Machine Gun Kelly,5505,16,2,2017,0.697,0.691,2,-4.757,1,0.146,0.214,0,0.185,0.305,137.853,239293,4
Heathens,Twenty One Pilots,3280,25,1,2017,0.732,0.396,4,-9.348,0,0.0286,0.0841,3.58e-05,0.105,0.548,90.024,195920,4
